,artist,change,lastPos,peakPos,rank,spotifyID,spotifyLink,title,videoLink,weeks,date
607,The Chainsmokers Featuring ROZES,+3,11,6,8,3FWPoYBDserKdzcattMFGa,https://embed.spotify.com/?uri=spotify:track:3FWPoYBDserKdzcattMFGa,Roses,http://cache.vevo.com/assets/html/embed.html?video=USQX91501023&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,14,2016-02-06
608,Drake,-2,7,2,9,1UfBAJfmofTffrae5ls6DA,https://embed.spotify.com/?uri=spotify:track:1UfBAJfmofTffrae5ls6DA,Hotline Bling,http://cache.vevo.com/assets/html/embed.html?video=USCMV1500030&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,25,2016-02-06
609,Justin Bieber,0,10,1,10,1ds2QsfhAAfRiaFMGDzrdb,https://embed.spotify.com/?uri=spotify:track:1ds2QsfhAAfRiaFMGDzrdb,What Do You Mean?,http://cache.vevo.com/assets/html/embed.html?video=USUV71502092&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,21,2016-02-06
610,Meghan Trainor Featuring John Legend,-2,9,8,11,2YlZnw2ikdb837oKMKjBkW,https://embed.spotify.com/?uri=spotify:track:2YlZnw2ikdb837oKMKjBkW,Like I'm Gonna Lose You,http://cache.vevo.com/assets/html/embed.html?video=USSM21500811&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,29,2016-02-06
611,Flo Rida,+11,23,4,12,6Knv6wdA0luoMUuuoYi2i1,https://embed.spotify.com/?uri=spotify:track:6Knv6wdA0luoMUuuoYi2i1,My House,http://cache.vevo.com/assets/html/embed.html?video=USATV1501098&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,11,2016-02-06
612,The Weeknd,+2,15,12,13,7fPHfBCyKE3aVCBjE4DAvl,https://embed.spotify.com/?uri=spotify:track:7fPHfBCyKE3aVCBjE4DAvl,In The Night,http://cache.vevo.com/assets/html/embed.html?video=USUMV1500396&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,11,2016-02-06
613,Drake & Future,-2,12,12,14,,,Jumpman,,18,2016-02-06
614,Bryson Tiller,-2,13,13,15,7lxWzjZCSkXndL8eYKfFWU,https://embed.spotify.com/?uri=spotify:track:7lxWzjZCSkXndL8eYKfFWU,Don't,http://cache.vevo.com/assets/html/embed.html?video=USRV81500468&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,17,2016-02-06
615,G-Eazy x Bebe Rexha,+3,19,7,16,0KMYgSe9JWHloFeEVBU6qq,https://embed.spotify.com/?uri=spotify:track:0KMYgSe9JWHloFeEVBU6qq,"Me, Myself & I",http://cache.vevo.com/assets/html/embed.html?video=USRV81500978&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,12,2016-02-06
616,Post Malone,-1,16,14,17,3G2grVPTDrTQskKKsoEnRA,https://embed.spotify.com/?uri=spotify:track:3G2grVPTDrTQskKKsoEnRA,White Iverson,,20,2016-02-06
617,The Weeknd,-4,14,1,18,0ysmhSqZrkiRkRH4mH8rDn,https://embed.spotify.com/?uri=spotify:track:0ysmhSqZrkiRkRH4mH8rDn,The Hills,http://cache.vevo.com/assets/html/embed.html?video=GBC781500280&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,35,2016-02-06
618,Travi$ Scott,-2,17,16,19,0KaA33vmmUEY77YD6L3KFi,https://embed.spotify.com/?uri=spotify:track:0KaA33vmmUEY77YD6L3KFi,Antidote,http://cache.vevo.com/assets/html/embed.html?video=USSM21501546&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,20,2016-02-06
619,Fetty Wap Featuring Remy Boyz,-2,18,4,20,5NQbUaeTEOGdD6hHcre0dZ,https://embed.spotify.com/?uri=spotify:track:5NQbUaeTEOGdD6hHcre0dZ,679,,30,2016-02-06
620,Selena Gomez,+16,37,7,21,7EZzirq5pGLjPALWr4lFeY,https://embed.spotify.com/?uri=spotify:track:7EZzirq5pGLjPALWr4lFeY,Hands To Myself,http://cache.vevo.com/assets/html/embed.html?video=USUV71503512&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,7,2016-02-06
621,DNCE,0,22,9,22,7L5jgZtAyfiU7elB8DIqCx,https://embed.spotify.com/?uri=spotify:track:7L5jgZtAyfiU7elB8DIqCx,Cake By The Ocean,http://cache.vevo.com/assets/html/embed.html?video=USUV71502665&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,14,2016-02-06
622,Tory Lanez,+3,26,23,23,05ljqOaMvnkiWyJWAfjayF,https://embed.spotify.com/?uri=spotify:track:05ljqOaMvnkiWyJWAfjayF,Say It,http://cache.vevo.com/assets/html/embed.html?video=USUV71502001&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,14,2016-02-06
623,Shawn Mendes & Camila Cabello,-4,20,20,24,,,I Know What You Did Last Summer,,10,2016-02-06
624,Thomas Rhett,-1,24,21,25,5ypi3yWrqZg5XDyYcscrc3,https://embed.spotify.com/?uri=spotify:track:5ypi3yWrqZg5XDyYcscrc3,Die A Happy Man,http://cache.vevo.com/assets/html/embed.html?video=USLXJ1507313&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,18,2016-02-06
625,Charlie Puth,+8,34,12,26,2uEJanMvnA1dXgX1ASnPQm,https://embed.spotify.com/?uri=spotify:track:2uEJanMvnA1dXgX1ASnPQm,One Call Away,http://cache.vevo.com/assets/html/embed.html?video=USATV1500769&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,8,2016-02-06
626,Ellie Goulding,-6,21,13,27,0kN5Ohxu97lwdDmP5n7FZE,https://embed.spotify.com/?uri=spotify:track:0kN5Ohxu97lwdDmP5n7FZE,On My Mind,http://cache.vevo.com/assets/html/embed.html?video=GBUV71501232&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,18,2016-02-06
627,Silento,+1,29,3,28,5RIVoVdkDLEygELLCniZFr,https://embed.spotify.com/?uri=spotify:track:5RIVoVdkDLEygELLCniZFr,Watch Me,,48,2016-02-06
628,Elle King,-4,25,10,29,70eDxAyAraNTiD6lx2ZEnH,https://embed.spotify.com/?uri=spotify:track:70eDxAyAraNTiD6lx2ZEnH,Ex's & Oh's,http://cache.vevo.com/assets/html/embed.html?video=USRV81400536&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,29,2016-02-06
629,Daya,+1,31,23,30,6xDvaUKHffDiy56v6UmrmI,https://embed.spotify.com/?uri=spotify:track:6xDvaUKHffDiy56v6UmrmI,Hide Away,http://cache.vevo.com/assets/html/embed.html?video=QM3EH1500009&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,18,2016-02-06
630,Yo Gotti,+5,36,31,31,2MqGvys5HMS5loK1p4Augh,https://embed.spotify.com/?uri=spotify:track:2MqGvys5HMS5loK1p4Augh,Down In The DM,http://cache.vevo.com/assets/html/embed.html?video=USSM21600242&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,8,2016-02-06
